City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Alyangula,AU,2022-02-06 04:44:57,-13.8483,136.4192,76.87,94,75,9.22
127,Chicama,PE,2022-02-06 04:44:58,-7.8447,-79.1469,64.94,81,62,4.5
128,Tautira,PF,2022-02-06 04:44:58,-17.7333,-149.15,86.0,75,52,19.39
129,Svetlyy,RU,2022-02-06 04:44:59,54.675,20.1347,37.45,93,100,21.63
130,Wuda,CN,2022-02-06 04:44:59,39.4994,106.7117,24.93,20,100,7.11
131,Port-Gentil,GA,2022-02-06 04:45:00,-0.7193,8.7815,78.71,81,15,9.13
132,Pak Chong,TH,2022-02-06 04:45:00,14.708,101.4161,83.8,43,65,8.23
133,Saint-Philippe,RE,2022-02-06 04:45:01,-21.3585,55.7679,83.79,82,100,20.0
134,Sinnamary,GF,2022-02-06 04:43:50,5.3833,-52.95,76.71,88,100,7.99
135,Arlit,NE,2022-02-06 04:42:34,18.7369,7.3853,57.56,19,0,9.33
136,Havre-Saint-Pierre,CA,2022-02-06 04:45:02,50.2334,-63.5986,3.79,55,0,5.75
137,Komsomolskiy,UZ,2022-02-06 04:45:02,40.4272,71.7189,43.52,26,100,9.22
138,Buta,CD,2022-02-06 04:45:03,2.7858,24.73,64.0,47,94,1.79
139,Whitehorse,CA,2022-02-06 04:45:03,60.7161,-135.0538,29.17,94,100,17.0
140,Muros,ES,2022-02-06 04:45:04,42.7762,-9.0603,45.23,83,40,10.96
141,Shingu,JP,2022-02-06 04:45:04,33.7333,135.9833,41.99,47,87,15.21
142,Bambous Virieux,MU,2022-02-06 04:45:05,-20.3428,57.7575,81.21,83,75,13.8
143,Aguilas,ES,2022-02-06 04:45:05,37.4063,-1.5829,56.21,83,99,8.81
144,Korla,CN,2022-02-06 04:45:06,41.7597,86.1469,27.99,37,98,10.38
145,Jardim De Piranhas,BR,2022-02-06 04:45:06,-6.3786,-37.3519,77.59,72,100,8.32
146,Hithadhoo,MV,2022-02-06 04:45:07,-0.6,73.0833,82.13,73,5,10.29
147,Bilibino,RU,2022-02-06 04:45:08,68.0546,166.4372,-15.48,83,30,4.61
148,Monrovia,LR,2022-02-06 04:44:16,6.3005,-10.7969,76.77,84,9,3.38
149,Yumen,CN,2022-02-06 04:45:08,40.2833,97.2,18.86,55,100,19.86
150,Haines Junction,CA,2022-02-06 04:45:09,60.7522,-137.5108,26.55,93,100,1.14
151,Souillac,MU,2022-02-06 04:45:09,-20.5167,57.5167,81.36,83,75,13.8
152,Mahebourg,MU,2022-02-06 04:45:10,-20.4081,57.7,81.25,83,75,13.8
153,Saskylakh,RU,2022-02-06 04:45:03,71.9167,114.0833,-26.21,100,98,2.86
154,Port Macquarie,AU,2022-02-06 04:40:22,-31.4333,152.9167,67.96,58,73,16.55
155,Chabahar,IR,2022-02-06 04:45:11,25.2919,60.643,72.79,71,0,2.21
156,Never,FR,2022-02-06 04:45:12,46.9896,3.159,38.95,93,89,8.79
157,Sao Filipe,CV,2022-02-06 04:45:12,14.8961,-24.4956,71.64,74,0,8.95
158,Adrar,MR,2022-02-06 04:45:13,20.5022,-10.0711,61.27,9,0,9.22
159,Xuanwu,CN,2022-02-06 04:45:13,32.069,118.8138,40.95,30,100,8.97
160,Carnarvon,AU,2022-02-06 04:45:14,-24.8667,113.6333,84.27,65,75,16.11
161,Baker City,US,2022-02-06 04:45:14,44.7749,-117.8344,25.32,92,0,0.0
162,Achit,RU,2022-02-06 04:45:15,56.7985,57.8994,15.03,92,100,6.17
163,Hamilton,US,2022-02-06 04:42:40,39.1834,-84.5333,18.55,89,0,0.0
164,Port Moresby,PG,2022-02-06 04:45:15,-9.4431,147.1797,89.02,58,75,11.5
165,Faanui,PF,2022-02-06 04:45:16,-16.4833,-151.75,80.58,76,33,19.01
166,Panaba,MX,2022-02-06 04:45:16,21.2833,-88.2667,68.29,93,65,5.99
167,Bredasdorp,ZA,2022-02-06 04:45:17,-34.5322,20.0403,69.28,88,71,4.61
168,Cap Malheureux,MU,2022-02-06 04:45:17,-19.9842,57.6142,81.46,75,100,13.0
169,Baykit,RU,2022-02-06 04:45:18,61.67,96.37,10.2,88,80,5.14
170,Evensk,RU,2022-02-06 04:45:18,61.95,159.2333,12.58,53,31,15.9
171,Piacabucu,BR,2022-02-06 04:45:19,-10.4056,-36.4344,76.73,82,74,5.86
172,Saint George,US,2022-02-06 04:44:04,37.1041,-113.5841,45.79,31,0,4.0
173,Charyshskoye,RU,2022-02-06 04:45:20,51.3978,83.5598,24.19,67,1,3.24
174,Husavik,IS,2022-02-06 04:45:21,66.0449,-17.3389,28.31,91,100,20.8
175,Plouzane,FR,2022-02-06 04:45:21,48.3833,-4.6167,51.98,87,100,19.57
176,Vardo,NO,2022-02-06 04:45:22,70.3705,31.1107,26.89,79,100,28.77
177,Dalianwan,CN,2022-02-06 04:45:23,39.0286,121.695,33.84,29,0,8.95
178,Ancud,CL,2022-02-06 04:45:23,-41.8697,-73.8203,56.73,89,79,2.82
179,Mitsamiouli,KM,2022-02-06 04:45:24,-11.3847,43.2844,77.29,88,20,5.75
180,Mathathane,BW,2022-02-06 04:45:24,-22.2687,28.7495,70.21,70,4,13.94
181,Ogaminana,NG,2022-02-06 04:45:25,7.5946,6.2248,71.19,23,5,1.66
182,Quatre Cocos,MU,2022-02-06 04:45:25,-20.2078,57.7625,81.09,77,100,14.38
183,Longyearbyen,SJ,2022-02-06 04:43:31,78.2186,15.6401,12.04,67,20,18.41
