City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,99,15.37,overcast clouds
187,Katsuura,JP,35.1333,140.3,37.51,44,29,7.85,scattered clouds
188,Dingle,PH,10.9995,122.6711,73.74,88,37,7.99,scattered clouds
189,Saint George,US,37.1041,-113.5841,55.87,25,0,3.0,clear sky
190,Elko,US,41.0002,-115.5012,35.06,63,0,4.0,clear sky
191,Luau,AO,-10.7073,22.2247,68.09,83,74,3.51,broken clouds
192,Davila,PH,18.4726,120.5763,73.38,85,68,18.9,broken clouds
193,Lubyany,RU,56.0378,51.4,24.44,98,99,1.32,overcast clouds
194,Kuching,MY,1.55,110.3333,75.42,100,40,2.3,light rain
195,Half Moon Bay,US,37.4636,-122.4286,62.46,70,0,0.0,clear sky
196,Bethel,US,41.3712,-73.414,29.01,56,0,1.01,clear sky
197,Mbarara,UG,-0.608,30.65,71.8,56,75,2.64,broken clouds
198,Saldanha,ZA,-33.0117,17.9442,68.05,95,40,7.99,scattered clouds
199,Cururupu,BR,-1.8283,-44.8683,85.71,64,77,7.65,moderate rain
200,San Quintin,MX,30.4833,-115.95,62.55,30,1,2.04,clear sky
201,Nikolskoye,RU,59.7035,30.7861,35.87,94,100,12.33,light snow
202,Korla,CN,41.7597,86.1469,24.26,46,9,5.08,clear sky
203,Aklavik,CA,68.2191,-135.0107,-18.4,76,75,17.27,broken clouds
204,Taksimo,RU,56.3444,114.8794,-7.69,96,100,1.01,overcast clouds
205,Kavaratti,IN,10.5669,72.642,78.49,68,36,10.27,scattered clouds
206,Sorland,NO,67.667,12.6934,35.46,61,100,17.0,overcast clouds
207,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,80,27,17.09,scattered clouds
208,Tura,IN,25.5198,90.2201,52.05,81,18,2.75,few clouds
209,Mikhaylovka,RU,50.06,43.2379,26.78,97,100,6.04,overcast clouds
210,Colac,AU,-38.3333,143.5833,60.15,93,2,6.2,clear sky
211,Guerrero Negro,MX,27.9769,-114.0611,64.27,29,0,1.7,clear sky
212,Codrington,AU,-38.2667,141.9667,59.04,73,0,9.44,clear sky
213,Fuyu,CN,45.1833,124.8167,-5.1,100,45,3.24,scattered clouds
